"VDOT",1500,1609,3000,3218,5000,8000,8045,10000,15000,16090,20000,210975,25000,30000,421950
50,"00:05:24.00","00:05:50.00","00:11:33.00","00:12:28.00","00:19:57.00","00:32:47.00","00:32:59.00","00:41:21.00","1:03:36.00","1:08:37.00","1:26:33.00","1:31:35.00","1:49:56.00","2:13:27.00","3:10:49.00"
49,"00:05:30.00","00:05:56.00","00:11:45.00","00:12:41.00","00:20:18.00","00:33:22.00","00:33:34.00","00:42:04.00","1:04:44.00","1:09:50.00","1:28:05.00","1:33:12.00","1:51:52.00","2:15:47.00","3:14:06.00"
48,"00:05:36.00","00:06:03.00","00:11:58.00","00:12:55.00","00:20:39.00","00:33:58.00","00:34:10.00","00:42:50.00","1:05:53.00","1:11:05.00","1:29:40.00","1:34:53.00","1:53:52.00","2:18:11.00","3:17:29.00"
47,"00:05:42.00","00:06:10.00","00:12:12.00","00:13:10.00","00:21:02.00","00:34:34.00","00:34:47.00","00:43:36.00","1:07:06.00","1:12:24.00","1:31:19.00","1:36:38.00","1:55:56.00","2:20:40.00","3:21:00.00"
46,"00:05:49.00","00:06:17.00","00:12:26.00","00:13:25.00","00:21:25.00","00:35:13.00","00:35:26.00","00:44:25.00","1:08:22.00","1:13:46.00","1:33:02.00","1:38:27.00","1:58:06.00","2:23:16.00","3:24:39.00"
45,"00:05:56.00","00:06:25.00","00:12:40.00","00:13:40.00","00:21:50.00","00:35:54.00","00:36:07.00","00:45:16.00","1:09:40.00","1:15:10.00","1:34:49.00","1:40:20.00","2:00:20.00","2:25:57.00","3:28:26.00"
44,"00:06:03.00","00:06:32.00","00:12:55.00","00:13:56.00","00:22:15.00","00:36:35.00","00:36:49.00","00:46:09.00","1:11:02.00","1:16:38.00","1:36:40.00","1:42:17.00","2:02:39.00","2:28:45.00","3:32:23.00"
43,"00:06:11.00","00:06:41.00","00:13:11.00","00:14:13.00","00:22:41.00","00:37:19.00","00:37:32.00","00:47:04.00","1:12:27.00","1:18:10.00","1:38:36.00","1:44:20.00","2:05:05.00","2:31:39.00","3:36:28.00"
42,"00:06:19.00","00:06:49.00","00:13:28.00","00:14:31.00","00:23:09.00","00:38:04.00","00:38:18.00","00:48:01.00","1:13:56.00","1:19:46.00","1:40:36.00","1:46:27.00","2:07:35.00","2:34:40.00","3:40:43.00"
41,"00:06:27.00","00:06:58.00","00:13:45.00","00:14:49.00","00:23:38.00","00:38:52.00","00:39:06.00","00:49:01.00","1:15:29.00","1:21:26.00","1:42:42.00","1:48:40.00","2:10:13.00","2:37:49.00","3:45:09.00"
40,"00:06:35.00","00:07:07.00","00:14:03.00","00:15:08.00","00:24:08.00","00:39:41.00","00:39:56.00","00:50:03.00","1:17:06.00","1:23:11.00","1:44:53.00","1:50:59.00","2:12:57.00","2:41:06.00","3:49:45.00"
